FlowerID,Site,Year,Site_Year,Visit,Date,Lat,Long,StartHour,TimeStart,TimeStop,Duration,Temperature,WindSpeed,Clouds,FlowerCollectionTime,totdur_min,totdur_sec,VisitDur,VisitNum,VisitRate,VisitRichness,Duration_2,Duration_3,Duration_4,Duration_5,Duration_6,APIS_visits,BOMB_visits,HALI_visits,HFLY_visits,PEPO_visits,AUGO_visits,MELI_visits,VESP_visits,TRIE_visits,APIS_rate,BOMB_rate,HALI_rate,HFLY_rate,PEPO_rate,AUGO_rate,MELI_rate,VESP_rate,TRIE_rate,APISBOMB_visits,Native_visits,Other_visits,APIS_dur,BOMB_dur,Native_dur,Other_dur,APIS_dur2,APIS_dur3,APIS_dur4,APIS_dur5,BOMB_dur2,BOMB_dur3,BOMB_dur4,BOMB_dur5,Other_dur2,Other_dur3,Other_dur4,Other_dur5
PR16V1F1,PR,2016,PR_2016,1,7/26/2016,42.84507,-84.37847,8,8:14,8:44,0:30:42,67,0,0,8:56,30.7,1842,1169,29,0.944625407,4,556,278,242,92,1,0,0,9,1,12,7,0,0,0,0,0,0.293159609,0.03257329,0.390879479,0.228013029,0,0,0,0,28,28,0,0,1113,1113,0,0,0,0,0,0,0,0,501,278,242,92
PR16V1F2,PR,2016,PR_2016,1,7/26/2016,42.84507,-84.37847,8,8:18,8:48,0:30:45,67,0,0,8:50,30.75,1845,1103,12,0.390243902,4,833,143,97,30,0,0,1,6,0,2,3,0,0,0,0,0.032520325,0.195121951,0,0.06504065,0.097560976,0,0,0,1,12,11,0,1,1103,1102,0,0,0,0,0,0,1,0,833,143,96,30
PR16V1F3,PR,2016,PR_2016,1,7/26/2016,42.84507,-84.37847,9,9:04,9:35,0:32:20,75,0,0,10:03,32.33333333,1940,1496,57,1.762886598,4,473,178,629,199,17,0,2,16,1,0,38,0,0,0,0,0.06185567,0.494845361,0.030927835,0,1.175257732,0,0,0,2,56,54,0,9,1476,1467,0,0,0,0,4,0,1,4,469,178,624,195
PR16V1F4,PR,2016,PR_2016,1,7/26/2016,42.84507,-84.37847,9,9:07,9:37,0:29:45,75,0,0,10:09,29.75,1785,2982,138,4.638655462,4,970,349,1125,388,150,0,0,28,3,4,104,0,0,0,0,0,0.941176471,0.100840336,0.134453782,3.495798319,0,0,0,0,136,136,0,0,2813,2813,0,0,0,0,0,0,0,0,956,343,1125,388
PR16V1F5,PR,2016,PR_2016,1,7/26/2016,42.84507,-84.37847,10,10:27,11:00,0:32:48,78,0.1,0,11:03,32.8,1968,1649,27,0.823170732,3,413,947,279,10,0,0,1,9,0,0,17,0,0,0,0,0.030487805,0.274390244,0,0,0.518292683,0,0,0,1,27,26,0,4,1649,1645,0,0,0,0,4,0,0,0,409,947,279,10
PR16V1F6,PR,2016,PR_2016,1,7/26/2016,42.84507,-84.37847,10,10:34,11:06,0:32:03,78,0.1,0,11:09,32.05,1923,1614,30,0.936037441,2,683,229,543,125,34,0,0,7,0,0,23,0,0,0,0,0,0.218408736,0,0,0.717628705,0,0,0,0,30,30,0,0,1580,1580,0,0,0,0,0,0,0,0,683,229,543,125
PR16V1F7,PR,2016,PR_2016,1,7/26/2016,42.84507,-84.37847,11,11:19,11:32,0:12:46,80,0,0,11:50,12.76666667,766,441,6,0.46997389,2,62,196,158,0,25,0,0,3,0,0,3,0,0,0,0,0,0.234986945,0,0,0.234986945,0,0,0,0,6,6,0,0,416,416,0,0,0,0,0,0,0,0,62,196,158,0
PR16V1F8,PR,2016,PR_2016,1,7/26/2016,42.84507,-84.37847,11,11:24,11:40,0:16:39,80,0,0,11:56,16.65,999,912,9,0.540540541,2,531,191,190,0,0,0,0,6,0,0,3,0,0,0,0,0,0.36036036,0,0,0.18018018,0,0,0,0,9,9,0,0,912,912,0,0,0,0,0,0,0,0,531,191,190,0
E16V1F1,E,2016,E_2016,1,7/27/2016,42.50159,-83.66593,7,7:20,7:50,0:30:15,63,0,0,8:10,30.25,1815,263,21,0.694214876,1,0,0,15,248,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0.694214876,0,0,0,0,0,21,21,0,0,263,263,0,0,0,0,0,0,0,0,0,0,15,248
E16V1F2,E,2016,E_2016,1,7/27/2016,42.50159,-83.66593,7,7:30,8:00,0:30:36,66,0,0,8:15,30.6,1836,704,43,1.405228758,1,2,0,58,644,0,0,0,0,0,43,0,0,0,0,0,0,0,0,1.405228758,0,0,0,0,0,43,43,0,0,704,704,0,0,0,0,0,0,0,0,2,0,58,644
