,Site,Visit,Genus,visits,rate,dur,dur2,dur3,dur4,dur5,visitdur,visitdur2,visitdur3,visitdur4,visitdur5
1,BP,1,APIS,1.875,0.059682192,46.25,10,0.625,9.875,25.75,12.7380952380952,4.95238095238095,0.3125,1.89880952380952,5.57440476190476
2,BP,1,BOMB,3.25,0.104691843625,94.625,5,0,8.25,80.875,15.4916666666667,0.890625,0,1.43020833333333,13.1083333333333
3,BP,1,Other,1.625,0.0508789090845668,41.75,20.875,6.625,4.625,9.625,12.172619047619,7.33333333333333,2.23809523809524,0.708333333333333,1.89285714285714
4,BP,2,APIS,1.625,0.049639584875,155.625,12.125,1.625,4.125,137.75,55.9270833333333,3.10416666666667,0.270833333333333,2.10416666666667,50.4479166666667
5,BP,2,BOMB,15.25,0.472467142375,466.75,14.625,1.375,53.125,397.625,23.6420755693582,0.764057971014493,0.06875,3.57565217391304,19.2336154244306
6,BP,2,Other,1.625,0.0503707576786246,60.5,20.75,2.375,4.875,32.5,13.7166666666667,5.36666666666667,0.558333333333333,1.29166666666667,6.5
7,E,1,APIS,0,0,0,0,0,0,0,0,0,0,0,0
8,E,1,BOMB,0.25,0.006815084,1.875,1,0,0,0.875,0.9375,0.5,0,0,0.4375
9,E,1,Other,14.625,0.457301699762584,301.875,6.5,1.5,60.875,233,38.0215522123226,2.00770789288231,0.0454545454545455,11.2517350624182,24.7166547115675
10,E,2,APIS,0,0,0,0,0,0,0,0,0,0,0,0
11,E,2,BOMB,3,0.09192195375,259.125,0.5,0,10.125,244.625,39.8395833333333,0.071875,0,2.59479166666667,35.2354166666667
12,E,2,Other,0,0,0,0,0,0,0,0,0,0,0,0
13,GT,1,APIS,0.444444444444444,0.0126226691111111,30.3333333333333,28.8888888888889,0,1.44444444444444,0,10.1851851851852,9.62962962962963,0,0.555555555555556,0
14,GT,1,BOMB,3.33333333333333,0.102882423,68.7777777777778,2.66666666666667,0,8.44444444444444,57.6666666666667,20.6299823633157,0.510934744268078,0,2.91975308641975,17.1992945326279
15,GT,1,Other,2,0.0737454823345457,105.333333333333,34.8888888888889,57,6.88888888888889,6.55555555555556,19.1018518518519,7.08333333333333,9.22685185185185,1.15277777777778,1.63888888888889
16,GT,2,APIS,0,0,0,0,0,0,0,0,0,0,0,0
17,GT,2,BOMB,5.75,0.192787896375,117.125,9.25,0,13.125,94.75,16.9541666666667,1.5,0,2.3125,13.1416666666667
18,GT,2,Other,0.75,0.0240294487385231,12,6.625,1,3.375,1,6.6875,3.8125,0.5,1.875,0.5
19,K,1,APIS,0,0,0,0,0,0,0,0,0,0,0,0
20,K,1,BOMB,0.875,0.028421061125,28.25,2.25,0,1.625,24.375,12.2083333333333,0.916666666666667,0,0.645833333333333,10.6458333333333
21,K,1,Other,0.25,0.00816259299231021,18,4.5,12.25,1.25,0,18,4.5,12.25,1.25,0
22,K,2,APIS,0,0,0,0,0,0,0,0,0,0,0,0
23,K,2,BOMB,1.75,0.05160156975,65.625,2.375,0.375,3.375,59.125,18.6041666666667,0.791666666666667,0.0625,0.958333333333333,16.6666666666667
24,K,2,Other,2.375,0.0720157289834216,158.25,57.375,85,14.625,1,44.1666666666667,15.7604166666667,24.0520833333333,4.04166666666667,0.25
25,PL,1,APIS,0.125,0.004111842125,0.5,0.5,0,0,0,0.5,0.5,0,0,0
26,PL,1,BOMB,2.5,0.082663722625,47.75,5,0,15.25,19.25,22.5446428571429,2.02678571428571,0,2.39285714285714,14
27,PL,1,Other,5.875,0.195164507671783,73.625,41.375,0,20.625,11.625,12.3416666666667,9.02569444444444,0,1.86527777777778,1.45069444444444
28,PL,2,APIS,1.875,0.0604798115,58,11,29.875,0.875,16.25,17.0595238095238,4.11904761904762,9.31547619047619,0.446428571428571,3.17857142857143
29,PL,2,BOMB,6.375,0.2059418205,152.375,12.125,12.625,14.75,112.875,18.724255952381,1.17797619047619,1.33020833333333,1.81636904761905,14.3997023809524
30,PL,2,Other,0.625,0.0203229142739532,60.5,7.25,49.875,2.25,1.125,16.53125,2.375,12.46875,0.5625,1.125
31,PR,1,APIS,0,0,0,0,0,0,0,0,0,0,0,0
32,PR,1,BOMB,0.5,0.015607975,1.75,1,0,0.25,0.5,1.1875,0.75,0,0.1875,0.25
33,PR,1,Other,37.5,1.28131776974601,1381,555.5,313.125,407.125,105,59.2981090600576,27.1456870063488,15.836528211712,14.1841197405536,2.12854016898135
34,PR,2,APIS,0.25,0.008169934625,21.125,15.75,2.625,0.875,1.875,10.5625,7.875,1.3125,0.4375,0.9375
35,PR,2,BOMB,16.375,0.530570408375,434.125,6.625,0,40.625,375.125,22.7997132704757,0.347209810957876,0,2.33338302725396,19.6056335901586
36,PR,2,Other,0.5,0.0158800119543196,128.625,14,29,5.75,79.875,68.125,7.4375,14.5,3.1875,43
