FlowerID,Site,Year,Visit,Date,StartHour,totdur_min,totdur_sec,Genus,visits,rate,dur,dur2,dur3,dur4,dur5,visitdur,visitdur2,visitdur3,visitdur4,visitdur5,Lat,Long
PR16V1F1,PR,2016,1,7/26/2016,8,30.7,1842,APIS,0,0,0,0,0,0,0,0,0,0,0,0,42.84507,-84.37847
PR16V1F1,PR,2016,1,7/26/2016,8,30.7,1842,BOMB,0,0,0,0,0,0,0,0,0,0,0,0,42.84507,-84.37847
PR16V1F1,PR,2016,1,7/26/2016,8,30.7,1842,PEPO,12,0.390879479,116,2,0,22,92,9.666666667,0.166666667,0,1.833333333,7.666666667,42.84507,-84.37847
PR16V1F1,PR,2016,1,7/26/2016,8,30.7,1842,Other,17,0.553745928,1052,556,278,242,92,61.88235294,32.70588235,16.35294118,14.23529412,5.411764706,42.84507,-84.37847
PR16V1F2,PR,2016,1,7/26/2016,8,30.75,1845,APIS,0,0,0,0,0,0,0,0,0,0,0,0,42.84507,-84.37847
PR16V1F2,PR,2016,1,7/26/2016,8,30.75,1845,BOMB,1,0.032520325,1,0,0,1,0,1,0,0,1,0,42.84507,-84.37847
PR16V1F2,PR,2016,1,7/26/2016,8,30.75,1845,PEPO,2,0.06504065,18,0,0,2,16,9,0,0,1,8,42.84507,-84.37847
PR16V1F2,PR,2016,1,7/26/2016,8,30.75,1845,Other,9,0.292682927,1084,833,143,96,30,120.4444444,92.55555556,15.88888889,10.66666667,3.333333333,42.84507,-84.37847
PR16V1F3,PR,2016,1,7/26/2016,9,32.33333333,1940,APIS,0,0,0,0,0,0,0,0,0,0,0,0,42.84507,-84.37847
PR16V1F3,PR,2016,1,7/26/2016,9,32.33333333,1940,BOMB,2,0.06185567,9,4,0,1,4,4.5,2,0,0.5,2,42.84507,-84.37847
PR16V1F3,PR,2016,1,7/26/2016,9,32.33333333,1940,PEPO,0,0,0,0,0,0,0,0,0,0,0,0,42.84507,-84.37847
PR16V1F3,PR,2016,1,7/26/2016,9,32.33333333,1940,Other,55,1.701030928,1471,469,178,628,195,26.74545455,8.527272727,3.236363636,11.41818182,3.545454545,42.84507,-84.37847
PR16V1F4,PR,2016,1,7/26/2016,9,29.75,1785,APIS,0,0,0,0,0,0,0,0,0,0,0,0,42.84507,-84.37847
PR16V1F4,PR,2016,1,7/26/2016,9,29.75,1785,BOMB,0,0,0,0,0,0,0,0,0,0,0,0,42.84507,-84.37847
PR16V1F4,PR,2016,1,7/26/2016,9,29.75,1785,PEPO,4,0.134453782,548,0,0,267,281,137,0,0,66.75,70.25,42.84507,-84.37847
PR16V1F4,PR,2016,1,7/26/2016,9,29.75,1785,Other,135,4.537815126,2279,970,343,1125,388,16.88148148,7.185185185,2.540740741,8.333333333,2.874074074,42.84507,-84.37847
PR16V1F5,PR,2016,1,7/26/2016,10,32.8,1968,APIS,0,0,0,0,0,0,0,0,0,0,0,0,42.84507,-84.37847
PR16V1F5,PR,2016,1,7/26/2016,10,32.8,1968,BOMB,1,0.030487805,4,4,0,0,0,4,4,0,0,0,42.84507,-84.37847
PR16V1F5,PR,2016,1,7/26/2016,10,32.8,1968,PEPO,0,0,0,0,0,0,0,0,0,0,0,0,42.84507,-84.37847
PR16V1F5,PR,2016,1,7/26/2016,10,32.8,1968,Other,26,0.792682927,1645,409,947,279,10,63.26923077,15.73076923,36.42307692,10.73076923,0.384615385,42.84507,-84.37847
PR16V1F6,PR,2016,1,7/26/2016,10,32.05,1923,APIS,0,0,0,0,0,0,0,0,0,0,0,0,42.84507,-84.37847
PR16V1F6,PR,2016,1,7/26/2016,10,32.05,1923,BOMB,0,0,0,0,0,0,0,0,0,0,0,0,42.84507,-84.37847
PR16V1F6,PR,2016,1,7/26/2016,10,32.05,1923,PEPO,0,0,0,0,0,0,0,0,0,0,0,0,42.84507,-84.37847
PR16V1F6,PR,2016,1,7/26/2016,10,32.05,1923,Other,30,0.936037441,1580,683,229,543,125,52.66666667,22.76666667,7.633333333,18.1,4.166666667,42.84507,-84.37847
PR16V1F7,PR,2016,1,7/26/2016,11,12.76666667,766,APIS,0,0,0,0,0,0,0,0,0,0,0,0,42.84507,-84.37847
PR16V1F7,PR,2016,1,7/26/2016,11,12.76666667,766,BOMB,0,0,0,0,0,0,0,0,0,0,0,0,42.84507,-84.37847
PR16V1F7,PR,2016,1,7/26/2016,11,12.76666667,766,PEPO,0,0,0,0,0,0,0,0,0,0,0,0,42.84507,-84.37847
PR16V1F7,PR,2016,1,7/26/2016,11,12.76666667,766,Other,6,0.46997389,416,62,196,158,0,69.33333333,10.33333333,32.66666667,26.33333333,0,42.84507,-84.37847
PR16V1F8,PR,2016,1,7/26/2016,11,16.65,999,APIS,0,0,0,0,0,0,0,0,0,0,0,0,42.84507,-84.37847
PR16V1F8,PR,2016,1,7/26/2016,11,16.65,999,BOMB,0,0,0,0,0,0,0,0,0,0,0,0,42.84507,-84.37847
PR16V1F8,PR,2016,1,7/26/2016,11,16.65,999,PEPO,0,0,0,0,0,0,0,0,0,0,0,0,42.84507,-84.37847
PR16V1F8,PR,2016,1,7/26/2016,11,16.65,999,Other,9,0.540540541,912,531,191,190,0,101.3333333,59,21.22222222,21.11111111,0,42.84507,-84.37847
E16V1F1,E,2016,1,7/27/2016,7,30.25,1815,APIS,0,0,0,0,0,0,0,0,0,0,0,0,42.50159,-83.66593
E16V1F1,E,2016,1,7/27/2016,7,30.25,1815,BOMB,0,0,0,0,0,0,0,0,0,0,0,0,42.50159,-83.66593
E16V1F1,E,2016,1,7/27/2016,7,30.25,1815,PEPO,21,0.694214876,263,0,0,15,248,12.52380952,0,0,0.714285714,11.80952381,42.50159,-83.66593
E16V1F1,E,2016,1,7/27/2016,7,30.25,1815,Other,0,0,0,0,0,15,248,0,0,0,0,0,42.50159,-83.66593
E16V1F2,E,2016,1,7/27/2016,7,30.6,1836,APIS,0,0,0,0,0,0,0,0,0,0,0,0,42.50159,-83.66593
E16V1F2,E,2016,1,7/27/2016,7,30.6,1836,BOMB,0,0,0,0,0,0,0,0,0,0,0,0,42.50159,-83.66593
E16V1F2,E,2016,1,7/27/2016,7,30.6,1836,PEPO,43,1.405228758,704,2,0,58,644,16.37209302,0.046511628,0,1.348837209,14.97674419,42.50159,-83.66593
E16V1F2,E,2016,1,7/27/2016,7,30.6,1836,Other,0,0,0,2,0,58,644,0,0,0,0,0,42.50159,-83.66593
E16V1F3,E,2016,1,7/27/2016,8,30.56666667,1834,APIS,0,0,0,0,0,0,0,0,0,0,0,0,42.50159,-83.66593
E16V1F3,E,2016,1,7/27/2016,8,30.56666667,1834,BOMB,0,0,0,0,0,0,0,0,0,0,0,0,42.50159,-83.66593
E16V1F3,E,2016,1,7/27/2016,8,30.56666667,1834,PEPO,8,0.26172301,129,0,0,55,74,16.125,0,0,6.875,9.25,42.50159,-83.66593
E16V1F3,E,2016,1,7/27/2016,8,30.56666667,1834,Other,0,0,0,0,0,55,74,0,0,0,0,0,42.50159,-83.66593
E16V1F4,E,2016,1,7/27/2016,8,30.18333333,1811,APIS,0,0,0,0,0,0,0,0,0,0,0,0,42.50159,-83.66593
E16V1F4,E,2016,1,7/27/2016,8,30.18333333,1811,BOMB,0,0,0,0,0,0,0,0,0,0,0,0,42.50159,-83.66593
E16V1F4,E,2016,1,7/27/2016,8,30.18333333,1811,PEPO,2,0.066261734,333,1,0,152,180,166.5,0.5,0,76,90,42.50159,-83.66593
E16V1F4,E,2016,1,7/27/2016,8,30.18333333,1811,Other,1,0.033130867,8,9,0,152,180,8,9,0,152,180,42.50159,-83.66593
E16V1F5,E,2016,1,7/27/2016,9,36.68333333,2201,APIS,0,0,0,0,0,0,0,0,0,0,0,0,42.50159,-83.66593
E16V1F5,E,2016,1,7/27/2016,9,36.68333333,2201,BOMB,2,0.054520672,15,8,0,0,7,7.5,4,0,0,3.5,42.50159,-83.66593
E16V1F5,E,2016,1,7/27/2016,9,36.68333333,2201,PEPO,30,0.817810086,380,1,0,31,348,12.66666667,0.033333333,0,1.033333333,11.6,42.50159,-83.66593
E16V1F5,E,2016,1,7/27/2016,9,36.68333333,2201,Other,3,0.081781009,164,28,12,118,386,54.66666667,9.333333333,4,39.33333333,128.6666667,42.50159,-83.66593
E16V1F6,E,2016,1,7/27/2016,9,28.83333333,1730,APIS,0,0,0,0,0,0,0,0,0,0,0,0,42.50159,-83.66593
E16V1F6,E,2016,1,7/27/2016,9,28.83333333,1730,BOMB,0,0,0,0,0,0,0,0,0,0,0,0,42.50159,-83.66593
E16V1F6,E,2016,1,7/27/2016,9,28.83333333,1730,PEPO,2,0.069364162,140,0,0,36,104,70,0,0,18,52,42.50159,-83.66593
E16V1F6,E,2016,1,7/27/2016,9,28.83333333,1730,Other,0,0,0,0,0,36,104,0,0,0,0,0,42.50159,-83.66593
E16V1F7,E,2016,1,7/27/2016,9,35.28333333,2117,APIS,0,0,0,0,0,0,0,0,0,0,0,0,42.50159,-83.66593
E16V1F7,E,2016,1,7/27/2016,9,35.28333333,2117,BOMB,0,0,0,0,0,0,0,0,0,0,0,0,42.50159,-83.66593
